VM,MIG,VM test count,MIG test count,KS Statistic,VM geo mean,MIG geo mean,Geo distance (VM/MIG),Geo distance (MIG/VM)
chs01,chs02,258126.0,105688.0,0.017777777777777778,14.030209778048054,14.261643858007075,0.9837722718178042,1.0164954112319209
dfw09,dfw12,137627.0,39104.0,0.022222222222222223,18.50149806992649,18.134848970353087,1.0202179295880989,0.9801827344905989
lax07,lax10,98131.0,29701.0,0.02666666666666667,12.292373414556634,13.45085844436564,0.9138727810867509,1.0942442106775838
yul07,yul08,36854.0,11140.0,0.013333333333333334,17.79514400653529,17.641619520749842,1.0087024031781704,0.9913726752798929
gru05,gru06,248283.0,179675.0,0.08,12.894977227085498,13.375292571246867,0.9640893579259782,1.0372482506717795
zrh01,zrh02,96853.0,41240.0,0.03111111111111111,11.281195329796835,11.716193373284078,0.962872066922423,1.0385595702202133
doh01,doh02,16223.0,6143.0,0.044444444444444446,9.344342274561672,9.127650776165007,1.023740117113432,0.9768104065508635
bom03,bom06,226311.0,65006.0,0.04,4.253805909551017,4.365819574980041,0.9743430383447451,1.026332575536068
cgk01,cgk02,501296.0,189591.0,0.07111111111111111,3.067445854826083,3.4025408320076553,0.9015162510235474,1.1092423446217836
icn01,icn02,32205.0,12498.0,0.044444444444444446,35.11752943973407,37.76861085251586,0.9298072830072013,1.075491683358061
