VM,MIG,VM test count,MIG test count,KS Statistic,VM geo mean,MIG geo mean,Geo distance (VM/MIG),Geo distance (MIG/VM)
chs01,chs02,341162.0,142487.0,0.008888888888888889,66.100031706765,66.79119335937395,0.9896519044226367,1.0104562983520962
dfw09,dfw12,177663.0,50551.0,0.013333333333333334,74.19370862336471,71.52658740459393,1.0372885288610805,0.9640519220799421
lax07,lax10,140605.0,43414.0,0.022222222222222223,69.65556148135828,67.42960320865254,1.0330115878899329,0.9680433518104442
yul07,yul08,50118.0,15419.0,0.013333333333333334,66.6243349991103,65.14476623777182,1.0227120127492393,0.9777923672880451
gru05,gru06,357338.0,258100.0,0.035555555555555556,34.10233875150937,37.747286630300366,0.9034381486942392,1.1068826365649092
zrh01,zrh02,147074.0,62833.0,0.03111111111111111,37.65392527906872,38.42544366059176,0.9799216792826705,1.0204897198845804
doh01,doh02,22955.0,8681.0,0.013333333333333334,16.543164997208688,16.071342037100333,1.0293580311475645,0.9714792810089263
bom03,bom06,366218.0,104793.0,0.013333333333333334,21.804667981582,22.61398533593368,0.9642116441516536,1.0371167015721265
cgk01,cgk02,742957.0,277416.0,0.035555555555555556,7.776876721035281,8.860190479634472,0.8777324526950934,1.139299335383444
icn01,icn02,43814.0,17088.0,0.07555555555555556,63.09333767303203,66.40568524042207,0.950119518300313,1.0524991653565006
