VM,MIG,VM test count,MIG test count,KS Statistic,VM geo mean,MIG geo mean,Geo distance (VM/MIG),Geo distance (MIG/VM)
chs01,chs02,279070.0,114473.0,0.017777777777777778,13.511764940785707,13.810190513823459,0.9783909155533344,1.0220863502544324
dfw09,dfw12,146913.0,41747.0,0.02666666666666667,17.84211643006202,17.502603146787795,1.0193978735863949,0.9809712438204818
lax07,lax10,107870.0,32644.0,0.03111111111111111,11.828866349113833,13.12653708630089,0.9011414260550612,1.1097037280571078
yul07,yul08,40109.0,12225.0,0.013333333333333334,17.54388618792638,17.344020527184487,1.011523606099787,0.9886076745710173
gru05,gru06,275671.0,199308.0,0.057777777777777775,12.946993494219566,13.525143111912145,0.957253715327908,1.04465512537337
zrh01,zrh02,107403.0,45775.0,0.04,10.878156633279259,11.439973201966895,0.9508900450403991,1.051646302551747
doh01,doh02,17559.0,6684.0,0.044444444444444446,8.573223029343316,8.191502926090518,1.046599519855751,0.955475309350253
bom03,bom06,254532.0,72871.0,0.035555555555555556,4.262528731941271,4.401238502466836,0.9684839232302861,1.0325416622968764
cgk01,cgk02,545069.0,205671.0,0.07111111111111111,2.9543870021441214,3.2824328786407455,0.9000601417834726,1.1110368669570194
icn01,icn02,35131.0,13588.0,0.07111111111111111,35.17157210261843,37.67593705234854,0.9335287946189517,1.071204236831474
